Age,Annual_Income,Total_Purchases,Average_Ticket,Total_Spending,Loyalty_Points,Website_Visits,Days_Since_Last_Purchase,Online_Purchases
38,40724,10,189.79,1942.4,5367,35,247,4
39,31424,15,130.88,804.84,1062,121,248,15
18,27371,6,97.34,1080.15,3387,5,313,2
28,37135,16,151.17,2535.66,7247,122,284,12
28,36717,23,200.7,4344.25,11968,150,171,17
46,30814,17,76.38,1512.65,5028,159,221,16
41,34070,14,211.61,2072.78,6158,44,197,6
26,44829,13,184.06,1993.34,6432,86,308,10
41,86026,21,627.6,13559.35,36128,130,186,15
45,41630,17,269.23,4524.26,11999,80,198,4
44,30114,10,97.99,471.34,2426,79,251,10
50,76172,25,392.4,9917.15,24754,147,71,14
24,29179,6,131.57,50.0,1660,5,273,0
45,34549,7,146.49,1201.54,3739,60,331,4
45,64414,25,462.62,11404.84,28101,162,164,15
47,55721,13,377.82,5872.11,16510,49,263,5
38,38675,19,202.41,3485.91,10200,101,168,12
39,31813,15,153.71,2278.83,5703,76,255,12
27,35079,21,178.2,4861.2,12036,186,200,16
42,44631,18,272.48,4234.15,10130,95,200,8
51,66206,13,526.46,6951.03,19387,64,196,6
54,51905,24,334.24,8011.98,22099,127,92,10
34,37638,8,166.31,1329.78,3298,5,280,0
47,30603,12,78.44,184.32,625,58,201,6
18,29428,15,117.0,959.46,3812,127,285,14
34,28757,17,112.72,2270.93,8234,160,151,17
52,23960,6,162.69,50.0,0,39,286,4
21,27209,10,108.83,987.14,3339,27,228,5
37,48709,17,321.39,6134.45,15398,91,254,7
25,31641,16,161.58,3711.29,8130,125,216,14
18,32561,5,166.98,50.0,0,33,314,2
40,86638,20,553.43,12120.26,30803,150,168,16
23,32571,23,179.48,3945.05,10011,212,205,19
28,29694,18,149.01,2900.63,6728,171,147,14
46,51299,13,343.07,5036.57,12665,69,268,5
46,40276,10,187.36,1314.8,3117,72,254,7
38,56200,18,343.84,5765.12,14773,51,244,6
45,38576,10,171.76,1183.57,1248,83,269,5
39,35617,9,136.69,2423.43,6892,5,286,2
68,39967,17,258.07,4276.83,13257,92,178,9
26,18000,18,67.04,1484.36,3132,121,165,16
55,27184,22,86.45,1798.69,6178,194,172,19
47,42662,4,206.08,1474.66,3443,21,287,2
35,54367,19,322.74,7041.4,16681,114,114,10
34,35535,17,150.91,2897.74,7789,109,175,11
26,39187,4,191.43,504.04,3066,33,300,4
53,33335,19,108.48,1733.01,5357,115,164,19
37,52473,17,384.3,6304.71,15333,82,193,6
47,64091,17,507.11,8377.6,22720,70,220,8
57,36465,13,158.6,1267.7,1705,66,286,6
46,45297,15,353.31,5993.68,16295,53,220,7
48,51742,13,327.57,4646.22,10964,79,209,9
32,84066,27,651.78,17445.64,45786,178,95,20
37,31139,9,174.11,2108.05,4728,91,233,6
28,38952,18,175.07,2533.37,6780,119,159,12
34,76209,20,554.86,11035.28,28278,173,87,14
53,36979,10,211.16,2322.43,6379,73,266,7
36,49920,6,197.37,1715.07,7090,42,322,5
43,74274,24,586.41,13654.2,34477,182,138,18
31,35623,12,143.9,1921.46,4490,99,252,4
39,33506,11,135.23,936.98,1138,132,300,10
54,44909,10,267.07,3082.58,4623,22,269,4
30,38717,13,213.37,1643.67,5891,121,247,11
46,34316,13,80.61,1893.58,3633,95,222,10
44,60346,23,511.16,11765.86,28495,175,126,16
39,43928,15,234.8,3568.97,7449,61,167,8
31,35140,11,191.7,1286.0,4763,33,243,4
18,39931,16,188.23,2340.99,7204,153,224,16
37,42089,23,210.78,3866.06,10968,159,144,17
40,53336,24,447.28,11481.04,28662,217,141,20
58,64976,27,520.91,13264.54,34479,211,68,20
52,60064,27,326.24,8793.58,21643,130,132,16
45,41932,13,182.86,2095.75,3557,53,262,7
37,71974,13,487.42,7465.52,18771,143,295,13
29,36186,19,192.41,3807.95,11433,116,239,15
33,53074,17,395.85,7463.25,20089,62,165,8
36,62736,19,485.37,8755.41,22956,133,123,14
27,31224,16,165.56,2685.49,7273,173,139,12
28,21589,8,86.0,1579.01,6673,94,229,4
38,45091,14,237.8,2212.69,5337,50,211,7
19,37512,14,184.66,2603.54,7559,66,223,4
53,36874,13,221.59,3167.87,7876,53,237,7
34,35644,13,214.39,2611.93,6319,73,274,9
32,37070,17,138.92,1826.67,3677,163,216,17
45,63269,21,512.93,10750.3,28166,171,131,18
42,40424,20,125.51,1939.44,4967,140,155,14
43,113324,31,768.3,23190.45,57221,217,86,23
56,39979,17,191.08,3806.82,8031,177,186,15
36,54298,20,341.87,7120.11,18168,108,229,9
51,38997,18,312.13,4431.8,11970,106,182,9
25,23951,16,167.77,3029.41,8567,155,223,15
43,47946,13,265.31,3045.4,7644,89,200,9
18,22598,15,112.77,2831.87,6851,100,203,12
39,24480,25,153.81,3904.3,9589,215,91,22
45,35395,23,178.33,3994.74,10808,218,124,22
37,73837,18,561.83,8612.04,24062,152,185,17
37,76265,25,638.94,15977.5,41115,208,133,20
55,25629,10,242.14,1439.14,3801,37,326,1
28,37677,17,158.1,2274.96,7972,128,231,16
38,33170,14,146.57,1639.08,5044,90,203,8
30,35097,21,180.71,4536.37,12387,148,191,16
54,25994,17,104.85,2334.66,5154,153,156,15
41,27669,5,187.48,1113.95,979,5,349,0
36,42491,11,421.25,3799.68,10558,75,296,8
30,21447,17,134.52,2311.71,5726,95,180,7
45,51086,18,419.23,6711.82,15660,107,191,14
39,33535,7,156.26,1281.66,3214,37,215,1
43,69417,15,478.03,8004.69,20865,23,273,4
51,32793,21,106.34,1988.6,6335,200,182,20
53,29980,21,70.31,665.78,750,193,90,21
33,36835,12,168.56,1302.39,4067,60,222,9
47,78883,31,505.11,16244.17,43047,165,107,17
33,39586,6,185.0,1229.16,2150,46,398,2
48,36790,12,234.72,2623.84,7846,92,290,6
55,25953,14,183.45,2000.41,5766,92,254,6
37,28695,21,44.62,1109.43,4888,172,84,20
43,63017,25,393.57,9460.4,23756,104,127,9
55,70573,20,599.15,14377.24,37474,152,179,14
18,36531,18,220.32,4048.12,12429,147,142,16
34,58595,17,523.48,10248.35,25852,117,137,10
42,41383,16,374.73,6156.18,15931,140,188,13
54,45384,32,240.58,7885.78,20642,287,31,27
44,36751,11,146.86,1568.79,3592,76,222,7
48,32627,16,144.1,1480.56,6467,146,251,14
33,27305,24,149.42,2366.41,6316,173,60,20
32,58420,14,383.93,4796.9,13849,73,207,3
44,59721,19,332.86,5811.62,16316,113,157,7
64,33980,21,116.85,2772.19,7679,184,155,21
36,18000,7,95.53,50.0,0,63,312,4
26,22282,11,110.67,1573.67,4663,86,209,12
30,47250,19,250.48,5582.51,14302,94,195,8
49,56276,26,525.31,13346.36,35570,155,109,18
27,33329,12,155.26,1616.98,5063,57,237,9
25,32057,21,93.25,2363.38,5020,202,111,17
35,57610,20,365.11,6891.73,18558,44,164,4
43,64046,21,520.46,10699.67,27734,141,89,13
64,79613,20,602.38,12213.68,32312,155,143,15
56,33661,15,123.03,1550.75,4757,129,213,14
24,48504,14,253.54,3176.19,9242,62,220,3
43,43791,23,407.6,9701.97,28132,125,139,12
33,27475,19,139.63,3113.5,8106,153,130,17
33,31727,10,94.96,1194.52,2852,75,242,3
43,39235,17,193.07,3635.58,9576,163,182,17
55,45518,17,404.5,6432.17,16732,125,208,10
23,40698,16,215.2,2917.73,6893,146,214,16
57,31909,7,92.1,1236.24,1645,29,274,4
49,68233,23,550.68,12020.83,29812,156,182,14
48,26885,16,124.15,1472.81,5454,108,209,16
41,94254,21,729.45,14423.83,35463,130,132,13
30,46613,21,218.26,4736.56,13281,171,155,18
49,71997,17,440.06,7641.68,20415,78,182,6
44,77417,16,603.79,8587.4,22677,136,255,15
43,39433,19,190.22,3413.19,10716,169,109,17
51,33302,16,108.58,2394.88,6847,157,221,16
38,34288,11,182.79,2273.24,6752,40,207,4
47,79242,23,554.33,12186.66,31877,144,173,16
28,38693,18,187.17,4160.08,10154,112,122,12
35,43615,7,223.94,842.49,1739,21,352,5
52,55178,27,378.81,11363.6,29683,130,84,13
41,78751,25,609.07,15573.03,40752,138,82,15
41,30479,18,50.18,1089.97,1650,158,186,15
57,50054,27,378.93,11092.34,27572,180,105,21
53,45226,15,184.51,2866.84,7858,114,251,9
25,39125,24,197.93,4293.5,11530,196,134,21
42,23307,24,94.03,3348.99,10599,210,131,23
46,44774,17,201.37,3445.48,9536,188,245,15
41,62620,20,486.39,10108.46,25363,109,172,14
20,58193,20,284.36,5804.86,15832,128,107,12
45,42390,19,180.77,3895.44,10563,123,230,15
53,57295,22,463.34,10036.25,28023,219,110,20
40,44256,16,400.96,5651.14,13459,154,213,15
35,42160,21,239.13,4326.39,11615,125,199,12
34,34743,16,150.56,2927.1,8932,109,254,10
36,32850,10,146.01,1414.06,4107,13,277,5
42,37295,9,202.78,827.98,1225,34,261,2
28,18000,15,113.58,1651.15,4159,90,178,11
42,28455,12,174.81,1350.77,5140,51,246,7
30,38037,14,119.24,702.29,1816,92,260,9
64,54967,28,341.45,10667.33,27873,124,78,12
59,76327,16,601.48,9532.3,23971,116,211,11
23,48773,12,210.15,1807.39,3618,75,228,8
39,41328,23,220.93,4868.92,12058,177,120,19
48,43536,14,200.32,2989.63,7838,139,244,16
38,68332,21,411.14,9387.81,23713,60,174,7
24,29006,22,102.25,3180.68,6803,195,158,21
36,24162,19,140.71,2295.5,3478,175,184,16
23,34553,12,160.38,2034.69,5106,82,209,10
42,31512,16,34.46,50.0,586,122,158,13
39,68355,21,502.35,10329.17,24911,150,98,18
44,61794,21,440.24,9634.09,23719,196,152,15
26,29464,13,123.9,1738.66,5750,107,263,12
38,28461,12,139.1,948.71,4300,164,236,16
37,26819,23,94.34,2838.74,5895,199,97,20
38,21985,6,113.47,886.75,2513,58,227,5
18,34639,26,173.62,4466.2,13648,224,164,24
18,37276,12,150.18,2089.08,6146,73,267,7
26,35591,15,174.96,2409.87,5754,152,181,12
31,42678,15,231.49,4197.5,11043,78,241,8
42,41506,17,215.19,3535.36,10320,64,177,6
47,65210,20,525.5,9717.84,25202,162,192,14
28,33961,18,176.38,2804.71,4962,186,239,15
29,34306,21,136.23,2336.15,6492,221,204,20
42,19565,19,57.81,2047.68,4675,166,231,16
41,24678,13,86.51,294.83,0,127,188,13
36,51279,25,313.07,8668.77,20322,115,166,12
35,34714,21,134.4,2667.28,8403,216,141,22
46,31655,30,320.64,8897.83,24386,200,45,22
46,18000,19,63.74,122.67,1632,160,207,18
36,28552,12,80.86,317.43,2371,69,286,10
42,24645,18,135.02,2867.84,9659,121,206,9
37,42258,11,161.91,1079.16,2642,115,215,9
29,94505,31,684.76,20618.48,53815,245,55,26
28,39724,19,106.01,2074.29,5477,150,167,16
46,48674,17,295.7,5350.51,14321,93,164,9
38,54687,20,353.68,6736.77,17748,125,146,9
30,40901,11,199.52,2144.85,5676,75,325,5
24,35816,11,181.22,2095.15,2324,111,316,9
55,68604,20,507.48,10949.6,28077,165,220,17
39,25810,15,182.79,3491.72,10198,64,225,4
18,39153,15,203.18,3746.61,11648,79,219,8
46,47066,22,259.17,5524.25,16105,155,167,13
23,36611,14,200.28,3927.59,10336,104,272,10
40,29751,22,136.62,3544.38,9404,175,123,17
39,78889,35,570.13,19707.84,49211,250,1,24
45,42965,14,246.4,1417.48,3480,94,222,6
42,60273,22,363.55,7551.18,19358,107,198,12
39,37677,9,209.2,1346.37,3335,43,323,4
56,76581,24,536.32,12786.08,33579,176,123,15
47,23814,19,68.01,558.1,0,174,156,16
47,104371,28,777.54,22262.41,56240,194,79,22
32,35372,13,126.27,1679.58,3860,125,181,9
31,44719,13,287.24,3336.88,8819,44,289,5
41,53989,12,286.77,3750.33,11005,53,253,5
54,25938,8,132.99,2247.28,5547,108,244,6
24,33211,30,168.27,4926.52,11295,248,74,24
32,43350,19,258.04,5683.73,14914,129,172,13
30,34385,23,198.52,4014.73,7945,201,176,21
39,27109,21,152.67,3397.33,10979,180,146,18
41,50373,20,278.19,5695.0,14289,177,164,20
38,70660,24,542.59,12121.44,31218,154,140,16
47,65410,26,515.33,13599.63,37257,174,133,15
57,99632,23,762.43,18429.18,46781,126,141,15
30,33044,24,242.43,6087.06,16229,97,219,10
43,35481,19,151.22,3233.9,9241,187,208,20
31,30298,19,145.02,3358.74,10078,163,206,18
27,35504,16,211.84,3091.47,8715,123,214,17
37,63813,26,486.17,13335.59,34186,180,86,17
39,35939,17,195.86,3539.21,10091,126,208,14
55,60834,25,360.29,8550.02,21439,128,64,11
54,51464,18,447.81,6585.04,16191,61,203,10
29,51990,28,269.81,6830.96,17792,177,4,16
43,32642,19,185.93,3728.59,8873,173,171,19
32,24343,5,135.51,815.23,2675,23,253,3
53,69654,13,554.22,6680.09,17224,85,248,12
21,28848,4,93.11,50.0,0,72,297,4
49,20094,19,61.59,1803.27,5279,146,180,17
61,59167,17,367.53,6284.12,17176,85,231,5
53,77207,25,558.19,13420.69,33479,178,167,16
35,39987,2,181.37,975.17,1312,5,287,1
56,72074,25,559.43,13294.45,33292,151,120,16
49,47027,22,337.58,7681.75,20745,134,165,10
57,52458,9,278.65,3017.28,9688,78,279,7
47,66079,21,470.65,10282.83,26242,187,176,18
32,31437,25,260.74,6915.42,17783,111,130,16
42,62037,23,492.27,11165.45,28769,189,131,22
47,66751,22,384.25,9146.41,22907,130,105,14
62,51144,26,330.98,8662.65,22684,122,144,12
25,23544,18,49.62,839.76,1846,154,184,16
52,53482,11,375.21,4766.03,12626,73,281,6
20,36296,9,142.58,1261.76,3817,51,250,7
29,27518,18,144.73,2794.8,8586,157,200,15
19,40200,25,269.28,6798.43,17975,218,157,21
42,73796,15,599.05,9141.38,23642,106,213,14
46,28099,12,184.53,2706.88,7712,82,274,7
47,47382,17,294.46,3315.71,7852,115,144,7
51,35431,11,125.67,1838.34,6384,66,232,5
25,37977,16,165.71,1596.85,5692,111,202,14
50,31403,17,164.93,3601.28,6421,91,180,10
46,49280,32,462.75,15162.61,39351,239,41,21
34,96205,25,675.99,17374.67,43131,181,102,21
35,39317,21,200.35,4470.92,10940,148,169,16
45,53336,22,280.69,5907.04,15216,96,160,9
38,84036,26,621.0,16551.73,41841,187,143,17
47,76560,16,571.34,8627.19,23440,112,250,12
32,49852,28,330.86,9572.09,26482,108,83,10
33,49358,13,336.62,5278.03,15774,54,290,10
36,60156,21,456.04,10424.76,26073,148,146,16
50,53529,21,379.09,7582.75,19935,76,123,7
35,42498,23,206.43,4770.12,14006,243,132,24
36,57699,12,314.54,3478.03,11414,65,200,6
57,39860,10,255.91,2606.62,7096,121,275,5
46,29534,15,112.17,2383.52,5087,138,242,13
31,70051,24,599.24,14962.94,37492,250,101,19
54,43587,10,158.08,2370.54,3883,41,293,4
48,22359,9,87.93,1204.08,3103,43,284,4
34,60808,19,510.59,8920.96,22264,141,170,12
62,53290,16,386.75,6781.67,17057,90,208,10
57,38476,10,240.5,1898.3,5752,66,312,7
40,56948,20,330.16,7066.6,17056,86,186,8
47,28646,5,156.78,334.78,1612,17,325,1
37,37785,20,239.87,5076.2,13685,187,191,20
48,64617,23,561.58,12450.79,28918,170,143,15
37,93273,30,642.79,19345.6,51339,257,55,22
18,31792,14,149.42,1680.49,4236,39,233,6
44,75274,22,572.1,13324.32,33761,172,127,14
37,40147,20,172.51,3415.4,9698,154,154,18
45,38254,14,130.02,1798.96,5343,144,226,12
44,87023,28,557.6,15088.86,37842,174,51,20
44,76357,27,541.41,14018.14,35657,181,113,21
58,48422,11,248.84,2567.9,6373,49,271,2
25,23279,17,39.19,488.5,2394,138,196,14
62,31182,14,157.38,2760.04,5998,112,272,13
47,92376,29,681.97,20098.84,54882,224,91,19
36,62565,30,524.6,16373.34,42978,179,49,20
53,60386,19,490.23,9063.06,23308,110,191,11
38,50564,20,488.83,10060.41,26220,181,207,16
37,70936,25,487.91,12385.09,31301,171,126,16
51,59226,26,479.4,12477.9,31225,211,2,18
48,67566,24,548.49,13108.85,33261,168,85,18
47,62230,21,563.52,12109.97,29627,167,241,16
35,24787,3,126.0,223.45,0,35,313,0
41,37899,17,186.57,2832.05,8952,95,176,12
34,67030,18,417.8,7266.46,17066,82,137,7
30,39168,11,317.61,3133.49,7688,85,288,6
53,82611,24,622.77,14972.2,39138,169,134,17
36,26309,16,51.06,594.27,3212,110,200,15
44,62295,20,347.83,6295.2,16953,136,196,13
33,38214,20,159.04,2983.9,7007,182,171,20
37,80492,29,647.75,18325.67,48315,199,76,22
40,38601,24,247.21,5945.96,16497,127,132,12
42,35667,11,127.72,1001.69,4696,59,226,9
40,45901,22,265.4,5859.48,12876,257,120,23
41,41474,17,299.82,3814.96,8461,56,201,9
37,30622,19,120.52,2943.71,6947,201,205,17
32,34980,13,222.45,2765.51,5959,18,198,3
49,54404,18,443.17,7805.63,22079,136,219,14
32,45669,10,215.56,1876.72,4570,56,315,5
33,31152,26,114.52,2458.79,6018,190,124,18
27,42750,19,252.49,4783.7,11455,162,188,20
53,33682,9,100.03,593.39,3237,26,270,4
26,23332,15,116.04,1783.09,7338,129,209,12
39,25816,11,78.47,1602.63,3742,67,269,8
38,22826,18,73.14,1862.0,5356,131,168,15
52,72206,19,553.76,10253.3,26694,130,137,12
67,23416,15,100.72,50.0,146,116,203,14
47,49050,27,475.96,12870.6,31389,165,131,15
30,39254,9,202.66,973.42,4630,59,285,4
49,65147,20,493.98,10006.95,26290,170,170,15
33,45678,5,198.48,1969.03,4342,68,325,4
46,92191,29,660.68,18359.64,49345,164,104,20
47,43287,6,248.82,1434.2,4952,49,369,1
48,47740,16,355.04,5355.84,16344,59,227,7
39,33765,25,192.55,4155.62,9601,146,140,12
27,26023,17,52.96,50.0,0,117,199,14
25,38282,17,227.37,3261.24,8498,172,229,16
26,29104,19,146.31,3998.31,9414,124,157,16
26,32524,22,118.14,2414.24,6624,202,191,19
50,24461,14,201.05,2403.52,3786,66,214,7
34,57053,14,362.59,5114.76,14299,30,248,4
36,38597,11,174.63,1931.61,4882,62,297,6
39,32520,19,51.67,1300.9,4280,192,186,19
32,34938,11,176.55,1140.83,2755,85,232,10
42,22759,13,51.73,580.78,755,59,227,10
53,18000,25,84.46,2333.81,5795,200,128,19
51,40830,21,171.17,3676.34,8977,175,90,18
34,78866,24,640.92,15771.26,42046,99,73,14
38,32619,19,146.73,2342.44,6552,127,211,16
29,40205,13,245.92,3117.11,8342,141,235,13
50,42843,16,214.68,4036.39,7597,61,198,7
43,61053,20,503.62,10088.83,27859,169,138,17
43,24799,5,61.62,1134.07,3255,24,304,6
45,62637,21,521.55,11303.91,27519,103,156,14
30,98787,28,689.04,20001.73,50118,203,90,20
40,33173,17,123.14,1574.98,4117,172,190,17
38,29675,18,143.73,2303.18,7583,165,170,15
50,59933,15,342.49,4302.17,12760,54,253,7
23,32293,20,189.05,5542.55,15763,154,148,19
52,66045,15,519.79,7585.19,19356,135,216,12
24,40373,23,139.01,4257.25,11856,185,146,19
33,44237,25,321.61,8524.67,23548,125,166,10
36,26427,21,95.48,1944.1,4717,195,158,20
29,42761,18,257.27,5062.48,13537,84,125,8
38,27625,15,130.37,2123.16,5497,151,256,13
56,36069,4,174.15,1236.63,1908,48,340,5
44,44227,26,323.66,7996.96,21614,143,94,14
34,55043,17,503.28,7283.83,17429,105,215,10
32,42444,11,230.66,2715.53,7673,56,245,7
34,46453,21,224.83,4702.64,13746,213,185,20
46,29081,25,136.18,2214.68,6361,217,132,24
27,43538,9,229.75,1925.27,4630,60,255,7
52,35086,18,180.9,2686.11,7594,102,207,7
48,36853,20,158.09,3324.75,6579,153,165,19
42,48752,19,295.87,4512.43,11752,155,183,15
40,39286,8,163.39,923.2,4225,29,286,4
27,37168,13,139.23,2965.02,6487,40,215,6
32,18000,19,70.55,207.02,0,121,235,15
30,18000,9,107.61,518.65,804,58,260,6
42,56451,17,317.33,5167.68,14838,58,228,6
44,50473,18,341.88,6680.78,17809,124,191,16
53,84460,25,620.45,15768.33,39401,175,110,18
53,85803,20,604.7,11380.31,29095,117,183,15
59,24428,13,49.17,107.55,29,111,210,9
33,30055,15,165.38,2428.86,7449,143,262,13
41,71969,22,524.19,11463.85,29190,175,170,14
51,43562,21,260.74,6662.49,15930,63,178,7
23,74003,42,572.86,23531.6,60618,262,1,29
39,44366,14,305.34,5392.01,14949,92,245,4
28,38250,10,198.73,1916.22,6321,43,223,5
23,40003,20,256.59,4238.32,12111,171,224,17
50,39638,9,169.54,1023.28,2974,39,276,1
30,32391,12,110.13,780.57,2295,108,256,11
35,33731,13,167.44,1934.0,6059,119,192,12
36,26689,15,96.92,1177.35,3523,130,261,12
